name-version.extension*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
openhtmltopdf-slf4j-1.0.9.jar,LGPL-2.1,Copyright non presente,,,Java,,,
openhtmltopdf-svg-support-1.0.9.jar,LGPL-2.1,Copyright non presente,,,Java,,,
pdfbox-2.0.24.jar,Apache-2.0,Copyright non presente,,,Java,,,
poi-4.1.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
reactive-streams-1.0.2.jar,CC0,Copyright non presente,,,Java,,,
resteasy-jaxrs-3.7.0.Final.jar,Apache-2.0,Copyright non presente,,,Java,,,
serializer-2.7.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
silpsvaa-cxfclient-3.0.0.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
silpsval-cxfclient-3.3.0.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
slf4j-api-1.7.22.jbossorg-1.jar,MIT,Copyright non presente,,,Java,,,
soap-2.3.1.jar,Libreria Java di Base,Copyright non presente,,,Java,,,
spicom-client-2.13.1.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
swagger-annotations-1.5.18.jar,Apache-2.0,Copyright non presente,,,Java,,,
threetenbp-1.3.5.jar,BSD-3-clause,Copyright non presente,,,Java,,,
threetenbp-1.3.5.jar: threeten-TZDB-2017b.jar,BSD-3-clause,Copyright non presente,,,Java,,,
threetenbp-1.3.5.jar: threeten-TZDB-all.jar,BSD-3-clause,Copyright non presente,,,Java,,,
util-perf-1.0.1.jar,"Apache-2.0, MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,,,Java,,,
validation-api-2.0.1.Final.jar,Apache-2.0,Copyright non presente,,,Java,,,
wsdl4j-1.6.3.jar,CPL-1.0,Copyright non presente,,,Java,,,
xalan-2.7.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
xml-apis-1.4.01.jar,Apache-2.0,Copyright non presente,,,Java,,,
xml-apis-ext-1.3.04.jar,Apache-2.0,Copyright non presente,,,Java,,,
xmlbeans-3.1.0.jar,Apache-2.0,Copyright non presente,,,Java,,,
xmlgraphics-commons-2.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
xmpbox-2.0.24.jar,Apache-2.0,Copyright non presente,,,Java,,,
